"Time","#","Name","Reading1","Reading2","Reading3","Reading4","Reading5","DataSnap"
"1/14/2026 8:00:00 AM","19009393","Active 3 Deep","47.3","14.5","34","3079","8188","Active"
"1/14/2026 12:00:00 AM","19009393","Active 3 Deep","47.5","14.5","34.3","3089","8154","Active"
"1/13/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.5","34.2","3084","8169","Active"
"1/13/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14.6","34.1","3089","8203","Active"
"1/13/2026 12:00:00 AM","19009393","Active 3 Deep","47.3","14.6","34","3089","8212","Active"
"1/12/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.6","34.1","3093","8203","Active"
"1/12/2026 8:00:00 AM","19009393","Active 3 Deep","47.5","14.7","34.2","3089","8159","Active"
"1/12/2026 12:00:00 AM","19009393","Active 3 Deep","47.5","14.7","34.3","3098","8179","Active"
"1/11/2026 4:00:00 PM","19009393","Active 3 Deep","47.6","14.8","34.4","3098","8136","Active"
"1/11/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14.8","34.1","3098","8217","Active"
"1/11/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14.8","34.2","3103","8206","Active"
"1/10/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","14.9","34","3103","8260","Active"
"1/10/2026 8:00:00 AM","19009393","Active 3 Deep","47.5","14.8","34.3","3098","8180","Active"
"1/10/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14.9","34.1","3103","8227","Active"
"1/9/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.9","34.2","3098","8201","Active"
"1/9/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14.9","34.1","3098","8213","Active"
"1/9/2026 12:00:00 AM","19009393","Active 3 Deep","47.5","14.9","34.2","3098","8181","Active"
"1/8/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.9","34.1","3098","8223","Active"
"1/8/2026 8:00:00 AM","19009393","Active 3 Deep","47.3","14.9","34.1","3089","8204","Active"
"1/8/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14.9","34.2","3089","8173","Active"
"1/7/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.8","34.2","3089","8180","Active"
"1/7/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14.8","34.2","3084","8157","Active"
"1/7/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14.9","34.2","3093","8176","Active"
"1/6/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.8","34.1","3089","8190","Active"
"1/6/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14.8","34.1","3089","8194","Active"
"1/6/2026 12:00:00 AM","19009393","Active 3 Deep","47.3","14.9","34.1","3084","8193","Active"
"1/5/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.9","34.2","3089","8178","Active"
"1/5/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14.9","34.2","3089","8165","Active"
"1/5/2026 12:00:00 AM","19009393","Active 3 Deep","47.5","14.9","34.2","3089","8158","Active"
"1/4/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.9","34.2","3089","8164","Active"
"1/4/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14.9","34.2","3093","8190","Active"
"1/4/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14.9","34.1","3093","8213","Active"
"1/3/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.9","34.1","3093","8205","Active"
"1/3/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","15","34.2","3093","8193","Active"
"1/3/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","15.1","34.1","3098","8215","Active"
"1/2/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","15.1","34.2","3093","8188","Active"
"1/2/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","15.1","34.2","3098","8192","Active"
"1/2/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","15.2","34.2","3098","8203","Active"
"1/1/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","15.2","34.2","3103","8218","Active"
"1/1/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","15.2","34.2","3103","8207","Active"
"1/1/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","15.3","34.1","3108","8253","Active"
"12/31/2025 4:00:00 PM","19009393","Active 3 Deep","47.5","15.3","34.3","3108","8185","Active"
"12/31/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","15.3","34.2","3113","8246","Active"
"12/31/2025 12:00:00 AM","19009393","Active 3 Deep","47.3","15.5","34.1","3113","8272","Active"
"12/30/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","15.5","34.1","3113","8252","Active"
"12/30/2025 8:00:00 AM","19009393","Active 3 Deep","47.5","15.4","34.2","3113","8221","Active"
"12/30/2025 12:00:00 AM","19009393","Active 3 Deep","47.5","15.5","34.3","3113","8205","Active"
"12/29/2025 4:00:00 PM","19009393","Active 3 Deep","47.5","15.5","34.3","3118","8223","Active"
"12/29/2025 8:00:00 AM","19009393","Active 3 Deep","47.5","15.4","34.2","3113","8223","Active"
"12/29/2025 12:00:00 AM","19009393","Active 3 Deep","47.5","15.5","34.2","3118","8239","Active"
"12/28/2025 4:00:00 PM","19009393","Active 3 Deep","47.3","15.5","34.1","3118","8285","Active"
"12/28/2025 8:00:00 AM","19009393","Active 3 Deep","47.5","15.4","34.3","3113","8218","Active"
"12/28/2025 12:00:00 AM","19009393","Active 3 Deep","47.3","15.3","34.1","3108","8260","Active"
"12/27/2025 4:00:00 PM","19009393","Active 3 Deep","47.3","15.3","34","3108","8281","Active"
"12/27/2025 8:00:00 AM","19009393","Active 3 Deep","47.5","15.2","34.2","3103","8199","Active"
"12/27/2025 12:00:00 AM","19009393","Active 3 Deep","47.3","15.1","34.1","3103","8243","Active"
"12/26/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","14.9","34.2","3093","8184","Active"
"12/26/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","14.9","34.1","3089","8202","Active"
"12/26/2025 12:00:00 AM","19009393","Active 3 Deep","47.3","14.8","34","3084","8198","Active"
"12/25/2025 4:00:00 PM","19009393","Active 3 Deep","47.3","14.8","34.1","3084","8191","Active"
"12/25/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","14.6","34.2","3079","8150","Active"
"12/25/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","14.6","34.2","3074","8139","Active"
"12/24/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","14.5","34.1","3074","8145","Active"
"12/24/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","14.5","34.2","3074","8135","Active"
"12/24/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","14.4","34.2","3074","8126","Active"
"12/23/2025 4:00:00 PM","19009393","Active 3 Deep","47.5","14.4","34.2","3070","8108","Active"
"12/23/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","14.3","34.1","3065","8129","Active"
"12/23/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","14.3","34.1","3060","8118","Active"
"12/22/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","14.3","34.2","3070","8119","Active"
"12/22/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","14.3","34.1","3070","8133","Active"
"12/22/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","14.3","34.1","3060","8126","Active"
"12/21/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","14.3","34.1","3065","8137","Active"
"12/21/2025 8:00:00 AM","19009393","Active 3 Deep","47.3","14.2","34.1","3065","8145","Active"
"12/21/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","14.3","34.2","3065","8111","Active"
"12/20/2025 4:00:00 PM","19009393","Active 3 Deep","47.3","14.3","34","3070","8162","Active"
"12/20/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","14.3","34.2","3060","8087","Active"
"12/20/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","14.2","34.1","3060","8122","Active"
"12/19/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","14.2","34.1","3056","8104","Active"
"12/19/2025 8:00:00 AM","19009393","Active 3 Deep","47.5","14.2","34.3","3056","8066","Active"
"12/19/2025 12:00:00 AM","19009393","Active 3 Deep","47.3","14.2","34.1","3060","8128","Active"
"12/18/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","14.3","34.1","3065","8132","Active"
"12/18/2025 8:00:00 AM","19009393","Active 3 Deep","47.3","14.3","34","3065","8161","Active"
"12/18/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","14.3","34.1","3065","8138","Active"
"12/17/2025 4:00:00 PM","19009393","Active 3 Deep","47.3","14.3","34.1","3060","8131","Active"
"12/17/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","14.3","34.2","3065","8119","Active"
"12/17/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","14.3","34.1","3065","8133","Active"
"12/16/2025 4:00:00 PM","19009393","Active 3 Deep","47.3","14.4","34","3070","8176","Active"
"12/16/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","14.4","34.1","3070","8137","Active"
"12/16/2025 12:00:00 AM","19009393","Active 3 Deep","47.5","14.5","34.3","3074","8110","Active"
"12/15/2025 4:00:00 PM","19009393","Active 3 Deep","47.3","14.5","34","3074","8186","Active"
"12/15/2025 8:00:00 AM","19009393","Active 3 Deep","47.3","14.5","34.1","3070","8157","Active"
"12/15/2025 12:00:00 AM","19009393","Active 3 Deep","47.3","14.5","34.1","3074","8167","Active"
"12/14/2025 4:00:00 PM","19009393","Active 3 Deep","47.3","14.5","34.1","3084","8192","Active"
"12/14/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","14.6","34.1","3084","8172","Active"
"12/14/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","14.6","34.2","3084","8169","Active"
"12/13/2025 4:00:00 PM","19009393","Active 3 Deep","47.3","14.7","34","3079","8202","Active"
"12/13/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","14.6","34.2","3079","8154","Active"
"12/13/2025 12:00:00 AM","19009393","Active 3 Deep","47.3","14.7","34.1","3079","8177","Active"
"12/12/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","14.7","34.1","3084","8189","Active"
"12/12/2025 8:00:00 AM","19009393","Active 3 Deep","47.3","14.7","34","3084","8202","Active"
"12/12/2025 12:00:00 AM","19009393","Active 3 Deep","47.3","14.8","34.1","3084","8194","Active"
"12/11/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","14.8","34.1","3084","8185","Active"
"12/11/2025 8:00:00 AM","19009393","Active 3 Deep","47.3","14.7","34","3089","8213","Active"
"12/11/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","14.8","34.1","3089","8184","Active"
"12/10/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","14.9","34.1","3089","8202","Active"
"12/10/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","14.9","34.1","3093","8212","Active"
"12/10/2025 12:00:00 AM","19009393","Active 3 Deep","47.2","14.9","33.9","3089","8250","Active"
"12/9/2025 4:00:00 PM","19009393","Active 3 Deep","47.3","14.9","33.9","3093","8250","Active"
"12/9/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","14.9","34.1","3093","8212","Active"
"12/9/2025 12:00:00 AM","19009393","Active 3 Deep","47.3","15","33.9","3103","8279","Active"
"12/8/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","15.1","34.1","3103","8236","Active"
"12/8/2025 8:00:00 AM","19009393","Active 3 Deep","47.5","15.1","34.2","3103","8195","Active"
"12/8/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","15.2","34.1","3108","8249","Active"
"12/7/2025 4:00:00 PM","19009393","Active 3 Deep","47.3","15.3","34.1","3113","8273","Active"
"12/7/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","15.3","34.1","3113","8254","Active"
"12/7/2025 12:00:00 AM","19009393","Active 3 Deep","47.2","15.4","33.9","3113","8313","Active"
"12/6/2025 4:00:00 PM","19009393","Active 3 Deep","47.3","15.4","34","3118","8295","Active"
"12/6/2025 8:00:00 AM","19009393","Active 3 Deep","47.3","15.5","34.1","3118","8287","Active"
"12/6/2025 12:00:00 AM","19009393","Active 3 Deep","47.3","15.6","34.1","3127","8307","Active"
"12/5/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","15.6","34.2","3132","8287","Active"
"12/5/2025 8:00:00 AM","19009393","Active 3 Deep","47.3","15.6","34.1","3132","8324","Active"
"12/5/2025 12:00:00 AM","19009393","Active 3 Deep","47.3","15.8","34","3137","8363","Active"
"12/4/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","15.8","34.2","3137","8308","Active"
"12/4/2025 8:00:00 AM","19009393","Active 3 Deep","47.3","15.9","33.9","3147","8398","Active"
"12/4/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","16.1","34.1","3147","8356","Active"
"12/3/2025 4:00:00 PM","19009393","Active 3 Deep","47.3","16.2","34.1","3152","8372","Active"
"12/3/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","16.2","34.2","3152","8348","Active"
"12/3/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","16.3","34.1","3161","8382","Active"
"12/2/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","16.4","34.2","3161","8369","Active"
"12/2/2025 8:00:00 AM","19009393","Active 3 Deep","47.4","16.4","34.1","3161","8381","Active"
"12/2/2025 12:00:00 AM","19009393","Active 3 Deep","47.5","16.5","34.2","3186","8418","Active"
"12/1/2025 4:00:00 PM","19009393","Active 3 Deep","47.4","16.7","34.2","3191","8444","Active"
"12/1/2025 8:00:00 AM","19009393","Active 3 Deep","47.6","16.7","34.4","3196","8401","Active"
"12/1/2025 12:00:00 AM","19009393","Active 3 Deep","47.4","16.8","34.1","3201","8496","Active"
