"Time","#","Name","Reading1","Reading2","Reading3","Reading4","Reading5","DataSnap"
"12/15/2025 4:00:00 PM","19009978","Active 1 Shallow","102","6.5","85","3723","1477","Active"
"12/15/2025 12:00:00 AM","19009978","Active 1 Shallow","102","4.1","85","3652","1795","Active"
"12/14/2025 4:00:00 PM","19009978","Active 1 Shallow","43.3","6.3","28.6","3703","11983","Active"
"12/14/2025 8:00:00 AM","19009978","Active 1 Shallow","42.8","4.4","28","3645","12102","Active"
"12/12/2025 4:00:00 PM","19009978","Active 1 Shallow","45.6","10.4","31.5","4129","11961","Active"
"12/12/2025 8:00:00 AM","19009978","Active 1 Shallow","45.4","7.6","31.3","4046","11825","Active"
"12/8/2025 4:00:00 PM","19009978","Active 1 Shallow","44.8","8","30.5","4083","12270","Active"
"12/7/2025 4:00:00 PM","19009978","Active 1 Shallow","45.1","8.7","31","4372","12942","Active"
"12/7/2025 8:00:00 AM","19009978","Active 1 Shallow","44.9","7.1","30.6","4339","12998","Active"
"12/7/2025 12:00:00 AM","19009978","Active 1 Shallow","44.8","7.5","30.6","4441","13337","Active"
"12/6/2025 4:00:00 PM","19009978","Active 1 Shallow","45","7.8","30.7","4467","13334","Active"
"12/6/2025 12:00:00 AM","19009978","Active 1 Shallow","44.9","6.6","30.6","4593","13753","Active"
"12/5/2025 4:00:00 PM","19009978","Active 1 Shallow","46","8.6","32.1","4975","14128","Active"
"12/5/2025 8:00:00 AM","19009978","Active 1 Shallow","45.6","4.9","31.6","5125","14834","Active"
"12/5/2025 12:00:00 AM","19009978","Active 1 Shallow","47.3","5.9","34.1","5877","15621","Active"
"12/4/2025 4:00:00 PM","19009978","Active 1 Shallow","48.5","7.4","35.8","6964","17504","Active"
"12/4/2025 12:00:00 AM","19009978","Active 1 Shallow","102","8.1","85","3763","2070","Active"
"12/3/2025 8:00:00 AM","19009978","Active 1 Shallow","102","6.1","85","3601","1980","Active"
"12/1/2025 12:00:00 AM","19009978","Active 1 Shallow","43.7","7.1","29.1","3837","12183","Active"
"11/29/2025 4:00:00 PM","19009978","Active 1 Shallow","45","12.8","30.8","4264","12697","Active"
"11/27/2025 4:00:00 PM","19009978","Active 1 Shallow","44.9","11.6","30.6","4216","12655","Active"
"11/26/2025 4:00:00 PM","19009978","Active 1 Shallow","45.2","11.7","31.1","4347","12803","Active"
"11/26/2025 8:00:00 AM","19009978","Active 1 Shallow","44.3","9.4","29.9","4314","13294","Active"
"11/26/2025 12:00:00 AM","19009978","Active 1 Shallow","45.9","12.2","32","4686","13380","Active"
"11/25/2025 4:00:00 PM","19009978","Active 1 Shallow","44.9","15.3","30.6","4773","14301","Active"
"11/25/2025 8:00:00 AM","19009978","Active 1 Shallow","46.2","12","32.4","4705","13241","Active"
"11/25/2025 12:00:00 AM","19009978","Active 1 Shallow","46.6","13.9","33","4934","13579","Active"
"11/24/2025 4:00:00 PM","19009978","Active 1 Shallow","47","16","33.5","5318","14400","Active"
"11/24/2025 8:00:00 AM","19009978","Active 1 Shallow","47.7","14.1","34.6","5676","14827","Active"
"11/24/2025 12:00:00 AM","19009978","Active 1 Shallow","49.1","14.5","36.8","7846","19103","Active"
"11/23/2025 8:00:00 AM","19009978","Active 1 Shallow","44.9","12","30.7","3886","11627","Active"
"11/22/2025 4:00:00 PM","19009978","Active 1 Shallow","44.8","16.7","30.5","4061","12230","Active"
"11/22/2025 8:00:00 AM","19009978","Active 1 Shallow","102","14.4","85","4016","2680","Active"
"11/21/2025 4:00:00 PM","19009978","Active 1 Shallow","46.2","18.1","32.4","4161","11679","Active"
"11/21/2025 8:00:00 AM","19009978","Active 1 Shallow","101.4","15.5","83.9","4129","3938","Active"
"11/21/2025 12:00:00 AM","19009978","Active 1 Shallow","45.9","17.3","31.9","4176","11934","Active"
"11/20/2025 4:00:00 PM","19009978","Active 1 Shallow","46.3","18.5","32.5","4289","11996","Active"
"11/20/2025 12:00:00 AM","19009978","Active 1 Shallow","102","17.3","85","4161","1994","Active"
"11/19/2025 12:00:00 AM","19009978","Active 1 Shallow","45.2","16.6","31","4176","12333","Active"
"11/18/2025 4:00:00 PM","19009978","Active 1 Shallow","102","18","85","4200","1777","Active"
"11/18/2025 8:00:00 AM","19009978","Active 1 Shallow","46.1","15.7","32.2","4099","11583","Active"
"11/17/2025 12:00:00 AM","19009978","Active 1 Shallow","44.7","16","30.4","4122","12444","Active"
"11/16/2025 4:00:00 PM","19009978","Active 1 Shallow","45.1","17.5","30.9","4176","12383","Active"
"11/16/2025 8:00:00 AM","19009978","Active 1 Shallow","44.8","14.3","30.5","4106","12376","Active"
"11/16/2025 12:00:00 AM","19009978","Active 1 Shallow","45.6","16.6","31.6","4256","12294","Active"
"11/15/2025 4:00:00 PM","19009978","Active 1 Shallow","46.8","19.4","33.2","4289","11709","Active"
"11/15/2025 8:00:00 AM","19009978","Active 1 Shallow","45","16.2","30.7","4192","12507","Active"
"11/15/2025 12:00:00 AM","19009978","Active 1 Shallow","45.3","16.9","31.1","4224","12422","Active"
"11/14/2025 4:00:00 PM","19009978","Active 1 Shallow","45.8","18.6","31.8","4281","12289","Active"
"11/14/2025 12:00:00 AM","19009978","Active 1 Shallow","45.2","16.1","31","4192","12398","Active"
"11/12/2025 4:00:00 PM","19009978","Active 1 Shallow","45.1","16.1","30.9","4153","12309","Active"
"11/12/2025 12:00:00 AM","19009978","Active 1 Shallow","45","14.2","30.7","4153","12392","Active"
"11/11/2025 4:00:00 PM","19009978","Active 1 Shallow","45.2","15.1","31","4122","12181","Active"
"11/10/2025 12:00:00 AM","19009978","Active 1 Shallow","45.4","12.4","31.3","4114","12048","Active"
"11/9/2025 8:00:00 AM","19009978","Active 1 Shallow","45.1","13.1","31","4137","12242","Active"
"11/8/2025 8:00:00 AM","19009978","Active 1 Shallow","102","13.2","85","4248","2812","Active"
"11/8/2025 12:00:00 AM","19009978","Active 1 Shallow","46.7","15.7","33.1","4467","12241","Active"
"11/7/2025 4:00:00 PM","19009978","Active 1 Shallow","47.4","18.8","34.1","4547","12064","Active"
"11/7/2025 8:00:00 AM","19009978","Active 1 Shallow","49.8","15","38","4372","10276","Active"
"11/7/2025 12:00:00 AM","19009978","Active 1 Shallow","46.6","17.1","33","4621","12717","Active"
"11/6/2025 4:00:00 PM","19009978","Active 1 Shallow","46.5","18.8","32.9","4520","12490","Active"
"11/6/2025 8:00:00 AM","19009978","Active 1 Shallow","46.7","14.1","33.2","4415","12089","Active"
"11/6/2025 12:00:00 AM","19009978","Active 1 Shallow","46.2","16.6","32.4","4602","12921","Active"
"11/5/2025 4:00:00 PM","19009978","Active 1 Shallow","46.6","19.5","32.9","4621","12747","Active"
"11/5/2025 8:00:00 AM","19009978","Active 1 Shallow","45.9","15.9","32","4547","12961","Active"
"11/5/2025 12:00:00 AM","19009978","Active 1 Shallow","45.6","17.4","31.5","4630","13420","Active"
"11/4/2025 4:00:00 PM","19009978","Active 1 Shallow","47.4","19","34.1","4630","12268","Active"
"11/4/2025 8:00:00 AM","19009978","Active 1 Shallow","45.9","14.6","31.9","4450","12710","Active"
"11/4/2025 12:00:00 AM","19009978","Active 1 Shallow","46.4","16","32.6","4538","12656","Active"
"11/3/2025 4:00:00 PM","19009978","Active 1 Shallow","46.8","18.4","33.3","4686","12765","Active"
"11/3/2025 8:00:00 AM","19009978","Active 1 Shallow","46.4","13.5","32.7","4415","12272","Active"
"11/3/2025 12:00:00 AM","19009978","Active 1 Shallow","45.8","14.3","31.8","4520","12964","Active"
"11/2/2025 4:00:00 PM","19009978","Active 1 Shallow","46.2","15.9","32.5","4529","12700","Active"
"11/2/2025 12:00:00 AM","19009978","Active 1 Shallow","45.2","13.2","31.1","4538","13375","Active"
"11/1/2025 4:00:00 PM","19009978","Active 1 Shallow","46.7","16.6","33.1","4715","12940","Active"
"11/1/2025 8:00:00 AM","19009978","Active 1 Shallow","46.4","13.2","32.7","4529","12620","Active"
"11/1/2025 12:00:00 AM","19009978","Active 1 Shallow","46.6","14.3","33","4686","12901","Active"
"10/31/2025 4:00:00 PM","19009978","Active 1 Shallow","46","15.7","32.1","4686","13330","Active"
"10/31/2025 8:00:00 AM","19009978","Active 1 Shallow","45.2","10.6","31.1","4424","13049","Active"
"10/31/2025 12:00:00 AM","19009978","Active 1 Shallow","46.1","13.1","32.2","4686","13250","Active"
"10/30/2025 4:00:00 PM","19009978","Active 1 Shallow","46.9","15.8","33.4","4734","12858","Active"
"10/30/2025 8:00:00 AM","19009978","Active 1 Shallow","46.8","10.4","33.2","4441","12141","Active"
"10/30/2025 12:00:00 AM","19009978","Active 1 Shallow","46.7","13.1","33.2","4734","12961","Active"
"10/29/2025 4:00:00 PM","19009978","Active 1 Shallow","47.4","16","34.2","4986","13189","Active"
"10/29/2025 8:00:00 AM","19009978","Active 1 Shallow","46.9","12.8","33.5","4872","13210","Active"
"10/29/2025 12:00:00 AM","19009978","Active 1 Shallow","47.6","15.2","34.4","5237","13755","Active"
"10/28/2025 4:00:00 PM","19009978","Active 1 Shallow","48.1","18.5","35.3","6120","15645","Active"
"10/28/2025 8:00:00 AM","19009978","Active 1 Shallow","47.3","18","34","5237","13956","Active"
"10/28/2025 12:00:00 AM","19009978","Active 1 Shallow","47.9","18.4","34.9","5214","13460","Active"
"10/27/2025 4:00:00 PM","19009978","Active 1 Shallow","47.4","19.3","34.1","5283","14026","Active"
"10/27/2025 8:00:00 AM","19009978","Active 1 Shallow","47.7","17.1","34.5","5103","13352","Active"
"10/27/2025 12:00:00 AM","19009978","Active 1 Shallow","47.9","18.4","34.9","5318","13742","Active"
"10/26/2025 4:00:00 PM","19009978","Active 1 Shallow","48.1","19.7","35.3","5510","14083","Active"
"10/26/2025 8:00:00 AM","19009978","Active 1 Shallow","47.9","17.7","34.9","5473","14144","Active"
"10/26/2025 12:00:00 AM","19009978","Active 1 Shallow","48.1","18.9","35.3","5741","14664","Active"
"10/25/2025 4:00:00 PM","19009978","Active 1 Shallow","49.2","20.7","37","7153","17333","Active"
"10/25/2025 12:00:00 AM","19009978","Active 1 Shallow","45.7","19.8","31.7","4091","11769","Active"
"10/24/2025 4:00:00 PM","19009978","Active 1 Shallow","45.8","21","31.8","4122","11835","Active"
"10/24/2025 8:00:00 AM","19009978","Active 1 Shallow","45.7","20.1","31.8","4129","11873","Active"
"10/24/2025 12:00:00 AM","19009978","Active 1 Shallow","46.1","20.9","32.2","4168","11781","Active"
"10/23/2025 4:00:00 PM","19009978","Active 1 Shallow","45.8","21.4","31.8","4122","11829","Active"
"10/23/2025 12:00:00 AM","19009978","Active 1 Shallow","45.5","19.2","31.5","4083","11860","Active"
"10/22/2025 4:00:00 PM","19009978","Active 1 Shallow","45.5","20.5","31.4","4076","11852","Active"
"10/22/2025 12:00:00 AM","19009978","Active 1 Shallow","45.6","19.2","31.6","4168","12061","Active"
"10/21/2025 4:00:00 PM","19009978","Active 1 Shallow","45.7","21.5","31.8","4216","12120","Active"
"10/21/2025 8:00:00 AM","19009978","Active 1 Shallow","45.3","18.2","31.2","4161","12204","Active"
"10/21/2025 12:00:00 AM","19009978","Active 1 Shallow","46.2","20.8","32.4","4339","12212","Active"
"10/20/2025 4:00:00 PM","19009978","Active 1 Shallow","46.2","22.5","32.3","4347","12243","Active"
